NO,DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
434951,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 16:45,2018/7/1 17:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,90.0,123.0,0.0,0.0,96.0,91.0,123.0,99.68
441526,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 17:00,2018/7/1 17:15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,92.0,105.0,0.0,0.0,110.0,93.0,106.0,99.35
448098,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 17:15,2018/7/1 17:30,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,100.0,113.0,0.0,0.0,108.0,104.0,113.0,98.77
454667,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 17:30,2018/7/1 17:45,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,93.0,111.0,0.0,0.0,125.0,96.0,111.0,99.1
461222,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 17:45,2018/7/1 18:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,100.0,98.0,0.0,0.0,116.0,102.0,98.0,99.05
467780,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 18:00,2018/7/1 18:15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,90.0,114.0,0.0,0.0,148.0,91.0,114.0,99.72
474348,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 18:15,2018/7/1 18:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,87.0,79.0,0.0,0.0,143.0,88.0,79.0,99.68
480911,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 18:30,2018/7/1 18:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,118.0,84.0,0.0,0.0,122.0,118.0,84.0,100.0
487476,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 18:45,2018/7/1 19:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,71.0,86.0,0.0,0.0,114.0,73.0,86.0,99.27
494045,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 19:00,2018/7/1 19:15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,103.0,88.0,0.0,0.0,122.0,104.0,88.0,99.68
500606,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 19:15,2018/7/1 19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,104.0,92.0,0.0,0.0,110.0,104.0,92.0,100.0
507167,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 19:30,2018/7/1 19:45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,90.0,124.0,0.0,0.0,76.0,90.0,125.0,99.66
513733,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 19:45,2018/7/1 20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,99.0,106.0,0.0,0.0,92.0,100.0,106.0,99.66
520293,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 20:00,2018/7/1 20:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,70.0,86.0,0.0,0.0,101.0,70.0,86.0,100.0
526857,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 20:15,2018/7/1 20:30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,90.0,110.0,0.0,0.0,83.0,91.0,111.0,99.3
